date,advertiser_name,impressions,clicks,post_click_activities,post_view_activities,spend,cpm,cpa,cpc,ctr
2013-10-30,Advertiser 19,9101,8,0,0,12.44,1.37,0,1.56,0.09
2013-10-30,Advertiser 20,64,0,0,0,0.31,4.79,0,0,0
2013-10-30,Advertiser 22,1077,0,0,0,3.67,3.41,0,0,0
2013-10-30,Advertiser 23,15067,3,0,0,17.3,1.15,0,5.77,0.02
2013-10-30,Advertiser 24,15754,5,0,0,40.49,2.57,0,8.1,0.03
2013-10-30,Advertiser 26,46726,34,0,0,87.46,1.87,0,2.57,0.07
2013-10-30,Advertiser 25,5796,1,0,0,9.72,1.68,0,9.72,0.02
2013-10-30,Advertiser 27,6148,5,0,0,5.12,0.83,0,1.02,0.08
2013-10-30,Advertiser 28,25245,6,0,0,42.73,1.69,0,7.12,0.02
2013-10-30,Advertiser 29,354,0,0,0,0.86,2.44,0,0,0
2013-10-30,Advertiser 30,13725,6,0,0,23.2,1.69,0,3.87,0.04
2013-10-30,Advertiser 33,59384,22,0,0,13.22,0.22,0,0.6,0.04
2013-10-30,Advertiser 35,14262,20,0,0,14.94,1.05,0,0.75,0.14
2013-10-31,Advertiser 2,10806,29,1,2,52.53,4.86,17.51,1.81,0.27
2013-10-31,Advertiser 3,13533,14,0,3,67.77,5.01,22.59,4.84,0.1
2013-10-31,Advertiser 4,17868,2,0,0,30.78,1.72,0,15.39,0.01
2013-10-31,Advertiser 5,23110,53,0,0,50.57,2.19,0,0.95,0.23
2013-10-31,Advertiser 7,6442,5,0,80,14.97,2.32,0.19,2.99,0.08
2013-10-31,Advertiser 13,8720,12,0,2,39.18,4.49,19.59,3.26,0.14
2013-10-31,Advertiser 14,66893,1952,0,0,68.41,1.02,0,0.04,2.92
2013-10-31,Advertiser 16,0,1,0,0,0,0,0,0,0
2013-10-31,Advertiser 19,8308,5,0,0,10.9,1.31,0,2.18,0.06
2013-10-31,Advertiser 20,86,0,0,0,0.42,4.87,0,0,0
2013-10-31,Advertiser 21,0,1,0,0,0,0,0,0,0
2013-10-31,Advertiser 22,927,1,0,0,3.68,3.97,0,3.68,0.11
2013-10-31,Advertiser 23,15612,4,0,0,17.91,1.15,0,4.48,0.03
2013-10-31,Advertiser 24,15107,8,0,0,39.95,2.64,0,4.99,0.05
2013-10-31,Advertiser 26,43043,15,0,0,79.3,1.84,0,5.29,0.03
2013-10-31,Advertiser 25,5610,0,0,0,11.54,2.06,0,0,0
2013-10-31,Advertiser 27,9155,2,0,0,5.2,0.57,0,2.6,0.02
2013-10-31,Advertiser 28,25917,7,0,0,42.8,1.65,0,6.11,0.03
2013-10-31,Advertiser 29,380,0,0,0,0.84,2.22,0,0,0
2013-10-31,Advertiser 30,14752,6,0,0,23.33,1.58,0,3.89,0.04
2013-10-31,Advertiser 33,58537,36,0,0,13.06,0.22,0,0.36,0.06
2013-10-31,Advertiser 35,11030,9,0,0,8.32,0.75,0,0.92,0.08
